45 16 | -0.536019 0.750644 0.785375 .
45 17 | -0.518138 0.725809 0.792329 .
45 18 | -0.500258 0.700975 0.799283 .
45 19 | -0.482377 0.676141 0.806236 .
45 20 | -0.464496 0.651306 0.81319 .
45 21 | -0.446615 0.626472 0.820143 .
45 22 | -0.428734 0.601637 0.827097 .
45 23 | -0.410854 0.576803 0.834051 .
45 24 | -0.392973 0.551968 0.841004 .
45 25 | -0.375092 0.527134 0.847958 .
45 26 | -0.357211 0.502299 0.854912 .
45 27 | -0.33933 0.477465 0.861865 .
45 28 | -0.32145 0.452631 0.868819 .
45 29 | -0.303569 0.427796 0.875773 .
45 30 | -0.285688 0.402962 0.882726 .
45 31 | -0.267807 0.378127 0.88968 .
45 32 | -0.249926 0.353293 0.896634 .
45 33 | -0.232046 0.328458 0.903587 .
45 34 | -0.214165 0.303624 0.910541 .
45 35 | -0.196284 0.27879 0.917494 .
45 36 | -0.178403 0.253955 0.924448 .
45 37 | -0.160522 0.229121 0.931402 .
45 38 | -0.142642 0.204286 0.938355 .
45 39 | -0.124761 0.179452 0.945309 .
45 40 | -0.10688 0.154617 0.952263 .
45 41 | -0.0889993 0.129783 0.959216 .
45 42 | -0.0711185 0.104948 0.96617 .
45 43 | -0.0532377 0.0801141 0.973124 .
45 44 | -0.0353569 0.0552796 0.980077 .
45 45 | -0.0174761 0.0304452 0.987031 .
45 46 | 0.000404709 0.00561074 0.993985 x, 0.76 0.000404709 0.000307579 0.000307579, 0.833333 0.00561074 0.00467562 0.0049832, 0.65 0.993985 0.64609 0.651073 0.651073
45 47 | 0.0182855 -0.0192237 1.00094 .
45 48 | 0.0361663 -0.0440581 1.00789 .
45 49 | 0.0540471 -0.0688926 1.01485 .
45 50 | 0.0719279 -0.093727 1.0218 .
45 51 | 0.0898087 -0.118561 1.02875 .
45 52 | 0.107689 -0.143396 1.03571 .
45 53 | 0.12557 -0.16823 1.04266 .
45 54 | 0.143451 -0.193065 1.04961 .
45 55 | 0.161332 -0.217899 1.05657 .
45 56 | 0.179213 -0.242734 1.06352 .
45 57 | 0.197093 -0.267568 1.07047 .
45 58 | 0.214974 -0.292403 1.07743 .
45 59 | 0.232855 -0.317237 1.08438 .
45 60 | 0.250736 -0.342071 1.09134 .
46 16 | -0.529249 0.753587 0.775662 .
46 17 | -0.511369 0.728753 0.782616 .
46 18 | -0.493488 0.703918 0.78957 .
46 19 | -0.475607 0.679084 0.796523 .
46 20 | -0.457726 0.654249 0.803477 .
46 21 | -0.439845 0.629415 0.81043 .
46 22 | -0.421965 0.604581 0.817384 .
46 23 | -0.404084 0.579746 0.824338 .
46 24 | -0.386203 0.554912 0.831291 .
46 25 | -0.368322 0.530077 0.838245 .
46 26 | -0.350442 0.505243 0.845199 .
